"ID";"ID PARENT";"ID PROJET";"NOM";"ABREVIATION";"DESCRIPTION";"NOTES";"DATE_MAJ";"ID MODIFIER PAR";"ID ETAT"
2017;1006;1;"Naissance";"N";"NULL";;2009-08-04 22:08:00;1;1
2018;1006;1;"Baptême";"b";"NULL";;2009-08-04 22:08:00;1;1
2019;1006;1;"Mariage";"M";"NULL";;2009-08-04 22:08:00;1;1
2020;1006;1;"Décès";"D";"NULL";;2009-08-04 22:08:00;1;1
2021;1006;1;"Contrat de mariage";"C";"NULL";;2009-08-04 22:08:00;1;1
2022;1006;1;"Divorce";"D";"NULL";;2009-08-04 22:08:00;1;1
2023;1006;1;"Ban";"B";"NULL";;2009-08-04 22:08:00;1;1
2024;1006;1;"Sépulture";"S";"NULL";;2009-08-04 22:08:00;1;1
2025;1006;1;"Épitaphe";"E";"NULL";;2009-08-04 22:08:00;1;1
2026;1006;1;"Testament";"T";"NULL";;2009-08-04 22:08:00;1;1
2027;1006;1;"Dot";"D";"NULL";;2009-08-04 22:08:00;1;1
2028;1006;1;"Insinuation";"I";"NULL";;2009-08-04 22:08:00;1;1
2029;1006;1;"Recensement";"R";"NULL";;2009-08-04 22:08:00;1;1
2030;1007;1;"Archive départementale";"AD";"NULL";;2009-08-04 22:08:00;1;1
2031;1007;1;"Mairie";"M";"NULL";;2009-08-04 22:08:00;1;1
2032;1007;1;"Cimetière";"C";"NULL";;2009-08-04 22:08:00;1;1
2033;1008;1;"Premier niveau de division administrative";"A.ADM1";"Le niveau de division administrative de type région.";;;;
2034;1008;1;"Deuxième niveau de division administrative";"A.ADM2";"Le niveau de division administrative de type département.";;;;
2035;1008;1;"Troisième niveau de division administrative";"A.ADM3";"Le niveau de division administrative de type arrondissement.";;;;
2036;1008;1;"Quatrième niveau de division administrative";"A.ADM4";"Le niveau de division administrative de type commune.";;2009-08-04 22:08:00;1;1
2037;1008;1;"Division administrative";"A.ADMD";"Une division administrative d'un pays sans indication de niveau.";;;;
2038;1008;1;"Entité politique indépendante";"A.PCLI";"Un pays...";;;;
2039;1008;1;"Paroisse";"A.PRSH";"Une division administrative de l'église.";;2009-08-04 22:08:00;1;1
